date,request,Lended_Amount,Repaid_Amount,Locked_Amount
2021-08-15,84,165024.50000000006,33688.902,131335.59800000006
2021-08-16,255,455124.05000000005,165932.85799999995,289191.1920000001
2021-08-17,255,435631.71000000014,155095.369,280536.34100000013
2021-08-18,243,396412.2100000003,170733.966,225678.24400000033
2021-08-19,217,366415.99999999994,126327.85100000001,240088.14899999992
2021-08-20,243,400269.0599999999,131977.495,268291.5649999999
2021-08-21,129,231582.41999999998,77420.707,154161.713
2021-08-22,114,177052.41,49561.61600000001,127490.794
2021-08-23,250,422712.12,151647.69100000008,271064.4289999999
2021-08-24,255,419926.7999999997,171987.556,247939.2439999997
2021-08-25,231,417159.67000000004,118658.86500000002,298500.80500000005
2021-08-26,211,350459.35000000015,127600.06999999999,222859.28000000014
2021-08-27,218,363154.6100000001,132054.53300000002,231100.07700000008
2021-08-28,162,259199.96000000005,50149.723,209050.23700000005
2021-08-29,103,173733.71999999997,39430.105,134303.61499999996
2021-08-30,241,426798.03000000014,173874.29800000004,252923.7320000001
2021-08-31,246,433758.22,150021.48200000002,283736.73799999995
2021-09-01,195,349701.11,109386.498,240314.61199999996
2021-09-02,241,442869.94,148464.602,294405.338
2021-09-03,220,394066.6700000001,122041.751,272024.9190000001
2021-09-04,122,211378.10999999996,57728.840000000004,153649.26999999996
2021-09-05,101,160024.62000000008,41520.44,118504.18000000008
2021-09-06,135,233838.73000000004,70328.31000000001,163510.42000000004
2021-09-07,217,382689.1300000002,152551.94499999995,230137.18500000023
2021-09-08,200,352121.32000000024,126957.57100000001,225163.74900000024
2021-09-09,183,315997.28000000014,106440.295,209556.98500000016
2021-09-10,195,376280.88999999966,129789.30900000001,246491.58099999966
2021-09-11,144,233482.4800000001,88530.741,144951.73900000012
2021-09-12,93,159959.9900000001,33184.748999999996,126775.24100000011
2021-09-13,236,435329.6100000005,133551.457,301778.1530000005
2021-09-14,230,402059.5500000001,156740.194,245319.35600000012
2021-09-15,258,480729.10999999987,141973.104,338756.0059999999
2021-09-16,234,422702.0800000002,123253.286,299448.7940000002
2021-09-17,216,358552.7,146529.73400000003,212022.966
2021-09-18,119,200559.72000000003,50250.16100000001,150309.559
2021-09-19,121,204795.96999999997,43895.852,160900.11799999996
2021-09-20,270,483234.4300000002,151932.49500000002,331301.9350000002
2021-09-21,226,361209.0800000005,133135.57400000002,228073.50600000046
2021-09-22,170,281369.78999999986,68382.34,212987.44999999987
2021-09-23,275,447967.29999999993,167318.69700000001,280648.6029999999
2021-09-24,220,351580.83,146350.89300000004,205229.93699999998
2021-09-25,155,244866.89999999997,69219.54,175647.36
2021-09-26,128,199767.1300000001,49614.55200000001,150152.5780000001
2021-09-27,254,468646.58000000013,101425.012,367221.56800000014
2021-09-28,247,408407.7599999999,138649.979,269757.7809999999
2021-09-29,253,441313.4100000001,168210.17200000005,273103.238
2021-09-30,245,410873.06000000023,122976.03500000002,287897.0250000002
2021-10-01,243,410424.6499999994,158571.66,251852.98999999938
2021-10-02,138,228703.81000000008,45421.51899999999,183282.29100000008
2021-10-03,112,219473.62999999995,61934.002000000015,157539.62799999994
2021-10-04,247,460206.4200000001,94367.62400000003,365838.7960000001
2021-10-05,259,462767.20000000007,150643.58399999997,312123.6160000001
2021-10-06,227,390558.14999999985,142589.40800000002,247968.74199999982
2021-10-07,394,859834.0200000004,346104.60300000006,513729.4170000003
2021-10-08,381,649543.7699999998,385589.516,263954.2539999998
2021-10-09,152,251957.83999999988,95665.063,156292.77699999989
2021-10-10,131,205530.77000000005,70571.67,134959.10000000003
2021-10-11,339,630940.9699999997,249090.16600000003,381850.8039999997
2021-10-12,515,833638.4000000004,180175.476,653462.9240000003
2021-10-13,311,545798.3200000001,175464.99100000007,370333.329
2021-10-14,292,492022.7999999998,145643.15999999997,346379.63999999984
2021-10-15,281,484544.25000000023,199215.40600000002,285328.8440000002
2021-10-16,156,244808.2400000001,70925.67300000002,173882.5670000001
2021-10-17,143,229555.79999999996,63839.698000000004,165716.10199999996
2021-10-18,325,519853.7500000003,225800.31499999997,294053.4350000003
2021-10-19,268,486534.7699999999,154610.93699999998,331923.8329999999
2021-10-20,289,506503.70999999996,243355.671,263148.039
2021-10-21,353,578849.9399999998,181256.608,397593.3319999998
2021-10-22,261,415812.78,142674.19400000002,273138.586
2021-10-23,143,226341.05000000016,85060.391,141280.65900000016
2021-10-24,125,169473.17000000004,36558.119000000006,132915.05100000004
2021-10-25,352,534159.2800000003,161892.5620000001,372266.71800000017
2021-10-26,297,469625.5100000001,170108.02899999995,299517.48100000015
2021-10-27,307,496100.62999999954,177359.83200000002,318740.7979999995
2021-10-28,266,454813.40999999974,169895.05000000005,284918.3599999997
2021-10-29,305,483308.1400000001,202392.48900000003,280915.65100000007
2021-10-30,158,258685.98,86082.906,172603.07400000002
2021-10-31,130,206333.34000000005,69787.53600000001,136545.80400000006
2021-11-01,264,459607.95999999996,153137.868,306470.09199999995
2021-11-02,257,445037.55999999965,174676.502,270361.0579999996
2021-11-03,262,424933.02,146957.75900000002,277975.261
2021-11-04,274,463783.2099999999,135579.249,328203.9609999999
2021-11-05,296,485624.6700000002,212751.383,272873.28700000024
2021-11-06,134,233952.94999999995,75401.84600000002,158551.10399999993
2021-11-07,107,192417.06999999992,52346.216,140070.85399999993
2021-11-08,314,544036.8,162870.14900000003,381166.651
2021-11-09,267,441802.3799999997,175593.119,266209.2609999997
